GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Average trip speed(whilst moving only)(km/h),Engine Coolant Temperature(å¡C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel used (trip)(gal),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Intake Manifold Pressure(psi),Speed (OBD)(km/h),Speed (GPS)(km/h),Trip time(whilst moving)(s)
Sat Aug 16 18:26:05 GMT+05:30 2014,26:05.1,79.95164521,6.84350596,9.762812,8,-70.69999695,51.3,-0.46926352,-7.86255836,5.69820023,0.01806104,0.04817324,0.03319179,-0.87079626,0.4818325,-,14.69999981,23.85209465,89,0,0,0,-,0.07840112,-,-,-,14.50377369,33,35.14612198,505.4970093
Sat Aug 16 18:26:06 GMT+05:30 2014,26:05.5,79.95169878,6.84354857,9.25,8,-70.19999695,51.1,-0.66079968,-7.68059921,4.91290188,-0.04915684,-0.06783848,-0.06735981,-0.78293568,0.40080547,-,14.69999981,23.86274529,89,0,0,0,-,0.07840112,-,-,-,14.50377369,32,33.29999924,506.0379944
Sat Aug 16 18:26:06 GMT+05:30 2014,26:06.0,79.95169878,6.84354857,9.25,8,-70.19999695,51.1,-0.90979666,-7.53694677,5.55454779,-0.02210957,-0.04078196,-0.09274176,-0.76829219,0.46621281,-,14.69999981,23.87467384,89,0,0,0,-,0.07840112,-,-,-,14.50377369,33,33.29999924,506.5660095
Sat Aug 16 18:26:07 GMT+05:30 2014,26:06.5,79.95176119,6.84360948,9.5,8,-69.90000153,48.8,-1.35032976,-7.73806,5.10443783,-0.1278792,-0.1530928,-0.13471961,-0.68336034,0.38128093,-,11.81499958,23.8878746,89,81.96078491,29.01960754,1253.75,-,0.07850582,-,-,-,11.16790581,34,34.20000076,507.0400085
Sat Aug 16 18:26:07 GMT+05:30 2014,26:07.0,79.95176119,6.84360948,9.5,8,-69.90000153,48.8,-1.62805712,-8.1019783,5.12359142,0.00253117,-0.16679816,-0.09957536,-0.69312257,0.3510178,-,13.02040958,23.8878746,89,81.96078491,41.5686264,1489,-,0.07866965,-,-,-,11.89309406,34,34.20000076,507.5190125
Sat Aug 16 18:26:08 GMT+05:30 2014,26:07.5,79.95182351,6.84370138,10.25,6,-69.59999847,39.1,-1.71424842,-7.69975281,5.38216543,-0.00755674,-0.02622419,-0.17474499,-0.78488815,0.4486407,-,14.69999981,23.90234375,89,76.07843018,53.33333206,1489,-,0.07888157,-,-,-,12.47324562,35,36.89999771,508.0589905
Sat Aug 16 18:26:08 GMT+05:30 2014,26:08.0,79.95182351,6.84370138,10.25,6,-69.59999847,39.1,-1.8579005,-7.69975281,5.09486103,-0.02097619,-0.03964822,-0.18938842,-0.78488815,0.41935381,-,14.69999981,23.91677475,89,92.54901886,52.94117737,1772.5,-,0.07888157,-,-,-,12.47324562,35,36.89999771,508.553009
Sat Aug 16 18:26:08 GMT+05:30 2014,26:08.5,79.95182351,6.84370138,10.25,6,-69.59999847,39.1,-1.70467162,-7.46033239,5.04697704,-0.04654235,-0.06522307,-0.17376876,-0.76048237,0.41447267,-,14.69999981,23.93246841,89,92.54901886,52.94117737,1653,-,0.07906168,-,-,-,13.92362309,36,36.89999771,509.0169983
Sat Aug 16 18:26:09 GMT+05:30 2014,26:09.0,79.95186897,6.84379214,10.25,8,-69.80000305,37.3,-0.67037648,-7.63271523,6.01423454,0.01192278,-0.06814392,-0.08297946,-0.73802912,0.4623079,-,14.69999981,23.94941711,89,92.54901886,52.15686417,1764,-,0.0792756,-,-,-,13.63354778,37,36.89999771,509.5350037
Sat Aug 16 18:26:10 GMT+05:30 2014,26:09.5,79.95190259,6.84389662,11.011357,6,-69.69999695,24.4,-0.87148941,-7.50821638,5.59285498,-0.02250773,-0.01609159,-0.07224095,-0.78391188,0.48964232,-,14.69999981,23.94941711,89,91.76470947,55.29411697,1764,-,0.07951878,-,-,-,13.34347153,37,39.6408844,510.053009
Sat Aug 16 18:26:10 GMT+05:30 2014,26:10.0,79.95190259,6.84389662,11.011357,6,-69.69999695,24.4,-0.69910687,-7.25921965,5.64073944,-0.0411728,0.01495903,-0.05271636,-0.80148399,0.51990539,-,14.69999981,23.96761703,89,91.76470947,54.90196228,1975,-,0.07951878,-,-,-,13.34347153,38,39.6408844,510.5509949
Sat Aug 16 18:26:10 GMT+05:30 2014,26:10.5,79.95190259,6.84389662,11.011357,6,-69.69999695,24.4,-0.47884035,-7.33583403,5.60243177,-0.03880954,-0.02789788,-0.04588277,-0.76731598,0.49452347,-,14.69999981,23.98706245,89,90.58823395,54.90196228,2007.75,-,0.07974619,-,-,-,13.19843388,39,39.6408844,511.0270081
Sat Aug 16 18:26:11 GMT+05:30 2014,26:11.1,79.95194709,6.84399218,11.25,6,-69.59999847,23.6,-0.4405331,-7.63271523,5.63116217,-0.01307058,-0.05026247,-0.05662128,-0.7585299,0.46816528,-,14.69999981,24.00775146,89,90.58823395,54.90196228,1871.75,-,0.07998087,-,-,-,13.48850918,40,40.5,511.5910034
Sat Aug 16 18:26:11 GMT+05:30 2014,26:11.6,79.95194709,6.84399218,11.25,6,-69.59999847,23.6,-0.65122288,-7.78594398,5.25766706,-0.0210169,-0.0226029,-0.02928687,-0.81124628,0.44375956,-,14.69999981,24.00775146,89,91.37255096,49.41176605,1871.75,-,0.08009358,-,-,-,12.32820797,40,40.5,512.0910034
Sat Aug 16 18:26:12 GMT+05:30 2014,26:12.0,79.95198908,6.84409443,11.5,7,-69.80000305,23.2,0,-8.52335835,5.497087,0.05287033,0.00787159,-0.05174014,-0.84346181,0.4486407,-,14.69999981,24.02838707,89,55.29411697,3.52941179,1378,-,0.08009358,-,-,-,12.32820797,40,41.39999771,512.4849854
Sat Aug 16 18:26:13 GMT+05:30 2014,26:12.5,79.95202279,6.84419552,11.75,5,-69.5,21.2,-0.72783732,-9.77791977,6.37815332,0.21134812,-0.00064579,-0.05174014,-0.8571291,0.41056776,-,14.69999981,24.04896927,89,17.64705849,7.84313726,952.25,-,0.08009358,-,-,-,2.90075469,40,42.29999924,513.0540161
Sat Aug 16 18:26:13 GMT+05:30 2014,26:13.0,79.95202279,6.84419552,11.75,5,-69.5,21.2,-0.51714754,-8.59997272,5.59285498,0.06606013,0.0474178,-0.05271636,-0.87665367,0.47011772,-,14.69999981,24.0682106,88,85.09803772,7.84313726,114,-,0.08009358,-,-,-,3.48090577,39,42.29999924,513.5189819
Sat Aug 16 18:26:14 GMT+05:30 2014,26:13.5,79.95205835,6.84429474,11.75,6,-69.19999695,20.4,0.08619126,-8.06367111,5.42047262,0.00947607,0.00665458,-0.04197785,-0.85615289,0.42716369,-,14.69999981,24.0861187,88,0,0,0,-,0.08011489,-,-,-,6.67173576,38,42.29999924,514.0579834
Sat Aug 16 18:26:14 GMT+05:30 2014,26:14.0,79.95205835,6.84429474,11.75,6,-69.19999695,20.4,0.77572137,-6.30153894,4.40533113,-0.19325823,0.13983963,0.04978768,-0.92546505,0.56285948,-,14.69999981,24.0861187,88,0,0,0,-,0.08011489,-,-,-,14.21369839,38,42.29999924,514.5089722
Sat Aug 16 18:26:15 GMT+05:30 2014,26:14.5,79.95209188,6.84438426,11.25,6,-69.59999847,19.9,0.85233581,-6.54095888,4.5489831,-0.16420782,-0.14422975,0.09664667,-0.69312257,0.36370876,-,14.69999981,24.10269547,88,0,0,0,-,0.08011489,-,-,-,14.21369839,37,40.5,515.0579834
Sat Aug 16 18:26:15 GMT+05:30 2014,26:15.0,79.95209188,6.84438426,11.25,6,-69.59999847,19.9,0.63206923,-7.17302847,4.8267107,-0.09732509,-0.22562288,0.10836142,-0.62673903,0.34125552,-,14.69999981,24.11923027,88,0,0,0,-,0.08011489,-,-,-,14.50377369,37,40.5,515.539978
Sat Aug 16 18:26:16 GMT+05:30 2014,26:15.5,79.95213592,6.84447962,11.25,6,-70.5,22.3,0.83318222,-8.02536392,5.7843914,0.03100103,-0.00035388,0.05857374,-0.80538893,0.48866609,-,14.69999981,24.13572311,88,0,0,0,-,0.08011489,-,-,-,14.50377369,37,40.5,516.0319824
Sat Aug 16 18:26:16 GMT+05:30 2014,26:16.0,79.95213592,6.84447962,11.25,6,-70.5,22.3,0.87148941,-6.35899973,4.50109911,-0.18187624,-0.20060322,0.08883683,-0.64821607,0.35882762,-,14.69999981,24.13572311,88,0,0,0,-,0.08011489,-,-,-,14.50377369,37,40.5,516.5599976
Sat Aug 16 18:26:16 GMT+05:30 2014,26:16.5,79.95213592,6.84447962,11.25,6,-70.5,22.3,0.29688102,-7.95832634,5.64073944,0.0138166,-0.09313512,0.03319179,-0.73607665,0.42813993,-,14.69999981,24.152174,88,0,0,0,-,0.08011489,-,-,-,14.50377369,37,40.5,517.0720215
Sat Aug 16 18:26:17 GMT+05:30 2014,26:17.0,79.95218149,6.84456463,11,6,-70.90000153,24.7,0.45968673,-8.21689987,5.44920301,0.02514547,-0.10092265,0.03807293,-0.75560123,0.38518584,-,14.69999981,24.16730499,88,0,0,0,-,0.08011489,-,-,-,14.50377369,36,39.59999847,517.5230103
Sat Aug 16 18:26:17 GMT+05:30 2014,26:17.5,79.95218149,6.84456463,11,6,-70.90000153,24.7,0.54587799,-7.7476368,4.89374828,-0.04521894,-0.11336622,0.03514424,-0.71948075,0.41642514,-,14.69999981,24.18367386,88,0,0,0,-,0.08011489,-,-,-,14.50377369,37,39.59999847,518.0159912
Sat Aug 16 18:26:18 GMT+05:30 2014,26:18.0,79.95223846,6.84464145,10.75,7,-70.90000153,29.7,0.71826053,-8.1211319,5.73650742,0.03518361,-0.04315362,0.07614586,-0.78391188,0.44278333,-,14.69999981,24.18367386,88,0,0,0,-,0.08011489,-,-,-,14.50377369,37,38.70000076,518.5479736
Sat Aug 16 18:26:19 GMT+05:30 2014,26:18.5,79.95230145,6.84471402,10.5,7,-71.30000305,33.9,0.89064306,-8.60954952,6.50265169,0.12256676,0.10394376,0.0907893,-0.87762988,0.56285948,-,14.69999981,24.20000076,88,0,0,0,-,0.08011489,-,-,-,14.50377369,37,37.79999924,519.0289917
Sat Aug 16 18:26:19 GMT+05:30 2014,26:19.0,79.95230145,6.84471402,10.5,7,-71.30000305,33.9,0.16280572,-8.19774628,5.10443783,0.00354707,0.02786114,0.01073852,-0.87177253,0.44375956,-,14.69999981,24.2150135,88,0,0,0,-,0.08011489,-,-,-,14.50377369,36,37.79999924,519.5089722
Sat Aug 16 18:26:19 GMT+05:30 2014,26:19.6,79.95230145,6.84471402,10.5,7,-71.30000305,33.9,0.08619126,-7.65186882,4.77882671,-0.06133062,0.01865207,0.0234295,-0.90398806,0.4486407,-,14.69999981,24.2287159,88,0,0,0,-,0.08011489,-,-,-,14.50377369,35,37.79999924,520.0689697
Sat Aug 16 18:26:20 GMT+05:30 2014,26:20.0,79.95237071,6.84478723,10.75,7,-71.69999695,37.2,0.59376204,-7.24006605,4.21379519,-0.12493008,-0.06643181,0.01854835,-0.80343646,0.37444729,-,14.69999981,24.23984718,88,0,0,0,-,0.08011489,-,-,-,14.50377369,33,38.70000076,520.5469971
Sat Aug 16 18:26:21 GMT+05:30 2014,26:20.5,79.95243649,6.84485712,10.5,8,-71.69999695,36.6,0.17238252,-7.58483076,4.57771349,-0.07775235,0.03248014,0.02050081,-0.89227331,0.41837758,-,14.69999981,24.23984718,88,0,0,0,-,0.08011489,-,-,-,14.50377369,33,37.79999924,521.0650024
Sat Aug 16 18:26:21 GMT+05:30 2014,26:21.0,79.95243649,6.84485712,10.5,8,-71.69999695,36.6,0.46926352,-7.76679039,4.10844994,-0.08405697,-0.18224275,0.04002539,-0.74291027,0.23875149,-,14.69999981,24.24968338,88,0,0,0,-,0.08011489,-,-,-,14.50377369,32,37.79999924,521.5239868
Sat Aug 16 18:26:22 GMT+05:30 2014,26:21.5,79.95249155,6.8449107,9.5,9,-71.90000153,37.4,0.87148941,-8.83939266,4.32871675,0.02622706,0.02746767,0.09274176,-0.91667902,0.35394648,-,14.69999981,24.25696182,88,0,0,0,-,0.08011489,-,-,-,14.50377369,30,34.20000076,522.0159912
Sat Aug 16 18:26:22 GMT+05:30 2014,26:22.0,79.95249155,6.8449107,9.5,9,-71.90000153,37.4,0.48841715,-8.50420475,3.8498764,-0.02811396,-0.07121313,0.05564505,-0.84931916,0.27096704,-,14.69999981,24.26169395,88,0,0,0,-,0.08011489,-,-,-,14.50377369,28,34.20000076,522.4240112
Sat Aug 16 18:26:23 GMT+05:30 2014,26:22.5,79.95253557,6.84496161,8.25,9,-71.90000153,37.1,1.10133278,-8.0924015,3.93606758,-0.05684006,-0.02558537,0.06735981,-0.88055855,0.31099239,-,14.69999981,24.26169395,88,0,0,0,-,0.08011489,-,-,-,14.50377369,28,29.69999886,523.0579834
Sat Aug 16 18:26:23 GMT+05:30 2014,26:23.0,79.95253557,6.84496161,8.25,9,-71.90000153,37.1,1.02471828,-8.66701031,4.09887314,0.00187308,-0.03059804,0.08395569,-0.87079626,0.31684977,-,14.69999981,24.25883865,88,0,0,0,-,0.08011489,-,-,-,14.50377369,22,29.69999886,523.5250244
Sat Aug 16 18:26:24 GMT+05:30 2014,26:23.5,79.95255995,6.84500461,6.75,9,-72,34.7,0.45968673,-7.68059921,5.13316822,-0.03814065,-0.05681857,0.04685899,-0.78293568,0.42325872,-,14.69999981,24.2522068,88,0,0,0,-,0.08011489,-,-,-,14.50377369,19,24.29999924,524.0200195
Sat Aug 16 18:26:24 GMT+05:30 2014,26:24.0,79.95255995,6.84500461,6.75,9,-72,34.7,0.2681506,-7.34541082,5.93762016,-0.01780623,-0.05405214,0.02147704,-0.75560123,0.46816528,-,14.69999981,24.24181366,88,0,0,0,-,0.08011489,-,-,-,14.50377369,16,24.29999924,524.5020142
Sat Aug 16 18:26:24 GMT+05:30 2014,26:24.5,79.95255995,6.84500461,6.75,9,-72,34.7,-0.2681506,-6.68461132,6.38773012,-0.03810376,-0.0064212,-0.04685899,-0.71459961,0.58824146,-,14.69999981,24.24181366,88,0,24.31372643,1328.75,-,0.08023542,-,-,-,13.92362309,16,24.29999924,525.0460205
Sat Aug 16 18:26:25 GMT+05:30 2014,26:25.0,79.95256619,6.84501953,4.5,7,-72.30000305,30.2,-0.22026655,-6.87614727,6.12915611,-0.0417617,-0.1246464,-0.01952458,-0.63259637,0.50428575,-,12.71266365,24.23144722,88,80.78431702,49.80392075,1328.75,-,0.08023542,-,-,-,13.19843388,16,16.19999886,525.5469971
Sat Aug 16 18:26:26 GMT+05:30 2014,26:25.5,79.95258571,6.84504923,4.75,8,-72.69999695,30,-0.1340753,-7.58483076,5.97592735,0.02073938,-0.02889612,0,-0.73802912,0.53064394,-,14.69999981,24.2248745,88,90.19608307,49.80392075,1768.75,-,0.08046793,-,-,-,13.19843388,19,17.10000038,526.0269775
Sat Aug 16 18:26:26 GMT+05:30 2014,26:26.0,79.95258571,6.84504923,4.75,8,-72.69999695,30,0.05746084,-7.7476368,5.53539419,-0.010351,-0.06088752,0.02245327,-0.76145858,0.4486407,-,14.69999981,24.21957397,88,92.15686798,56.07843018,1335,-,0.08063877,-,-,-,13.19843388,20,17.10000038,526.5529785
Sat Aug 16 18:26:26 GMT+05:30 2014,26:26.5,79.95258571,6.84504923,4.75,8,-72.69999695,30,-0.31603462,-7.84340477,4.95120907,-0.03494447,-0.04843167,-0.03416802,-0.7917217,0.40471038,-,14.69999981,24.2142849,87,92.15686798,31.37254906,1107.75,-,0.08066566,-,-,-,8.70226383,20,17.10000038,527.0289917
Sat Aug 16 18:26:27 GMT+05:30 2014,26:27.0,79.95261717,6.84508811,5.25,8,-72.59999847,31.8,0.07661445,-7.68059921,5.04697704,-0.04412681,-0.06280676,0.00780983,-0.78293568,0.41447267,-,14.69999981,24.2142849,87,33.33333206,7.05882359,182,-,0.08066566,-,-,-,3.48090577,20,18.89999962,527.5560303
Sat Aug 16 18:26:27 GMT+05:30 2014,26:27.5,79.95261717,6.84508811,5.25,8,-72.59999847,31.8,0.08619126,-8.14028549,5.31512785,0.0100556,-0.02338574,0.01171475,-0.82979459,0.44180712,-,14.69999981,24.20901108,87,85.09803772,30.19607925,182,-,0.08066566,-,-,-,5.94654703,20,18.89999962,528.0280151
Sat Aug 16 18:26:28 GMT+05:30 2014,26:28.0,79.95265055,6.84513143,5.5,8,-72.69999695,32.2,0,-8.24563026,5.41089582,0.02434808,-0.06337015,0.0068336,-0.77707827,0.42228249,-,14.69999981,24.20125008,87,86.66667175,30.19607925,114,-,0.08067275,-,-,-,5.94654703,18,19.79999924,528.5269775
Sat Aug 16 18:26:28 GMT+05:30 2014,26:28.5,79.95265055,6.84513143,5.5,8,-72.69999695,32.2,-0.09576806,-7.431602,5.55454779,-0.03517771,-0.07999001,0.00585737,-0.74876761,0.43399727,-,14.69999981,24.19225883,87,0,0,0,-,0.08068764,-,-,-,13.92362309,17,19.79999924,529.0310059
Sat Aug 16 18:26:29 GMT+05:30 2014,26:29.0,79.95267149,6.84518218,5.25,8,-72.59999847,29.7,0.33518824,-7.89128876,5.82269859,0.01927274,-0.00365687,-0.00976229,-0.79465038,0.50038081,-,14.69999981,24.19225883,87,0,0,0,-,0.08068764,-,-,-,14.50377369,17,18.89999962,529.5219727
Sat Aug 16 18:26:30 GMT+05:30 2014,26:29.5,79.95268142,6.84522939,5,6,-72.90000153,25.6,0.19153613,-8.17859268,5.7939682,0.0408935,0.02675412,0.02733441,-0.82491344,0.5101431,-,14.69999981,24.18329239,87,0,0,0,-,0.08068764,-,-,-,14.50377369,17,18,530.0490112
Sat Aug 16 18:26:30 GMT+05:30 2014,26:30.1,79.95268142,6.84522939,5,6,-72.90000153,25.6,0.50757074,-7.85298157,6.13873339,0.03638333,-0.08852185,0.03123933,-0.69312257,0.49061856,-,14.69999981,24.17434692,87,0,0,0,-,0.08068764,-,-,-,14.50377369,17,18,530.6589966
Sat Aug 16 18:26:31 GMT+05:30 2014,26:30.5,79.9526929,6.84527271,5,5,-72.69999695,24.8,-0.05746084,-7.28795004,5.65989304,-0.04034978,-0.05902844,-0.00585737,-0.74291027,0.47695136,-,14.69999981,24.16542244,87,0,0,0,-,0.08068764,-,-,-,14.50377369,17,18,531.0390015
Sat Aug 16 18:26:31 GMT+05:30 2014,26:31.0,79.9526929,6.84527271,5,5,-72.69999695,24.8,-0.1436521,-7.09641361,5.03740025,-0.09376848,-0.07483446,-0.00390492,-0.7585299,0.42911613,-,14.69999981,24.16542244,87,0,0,0,-,0.08068764,-,-,-,14.50377369,17,18,531.5499878
Sat Aug 16 18:26:32 GMT+05:30 2014,26:31.5,79.95271035,6.84532423,5.25,5,-72.90000153,25.8,0.37349546,-7.54652357,5.42047262,-0.03309172,-0.13752058,0.00780983,-0.70386112,0.3978768,-,14.69999981,24.15652084,87,0,0,0,-,0.08068764,-,-,-,14.50377369,17,18.89999962,532.0479736
Sat Aug 16 18:26:32 GMT+05:30 2014,26:32.0,79.95271035,6.84532423,5.25,5,-72.90000153,25.8,-0.21068975,-7.62313843,5.4875102,-0.02328551,-0.04195834,-0.02147704,-0.77707827,0.45937923,-,14.69999981,24.14764214,87,0,0,0,-,0.08068764,-,-,-,14.50377369,17,18.89999962,532.5239868
Sat Aug 16 18:26:33 GMT+05:30 2014,26:32.5,79.9527196,6.84536525,4.527693,5,-72.09999847,21.6,-0.34476504,-7.39329481,5.63116217,-0.03298968,-0.05166579,-0.03514424,-0.75364876,0.47402263,-,14.69999981,24.13630676,87,0,0,0,-,0.08068764,-,-,-,14.50377369,15,16.29969406,533.0339966
Sat Aug 16 18:26:33 GMT+05:30 2014,26:33.0,79.9527196,6.84536525,4.527693,5,-72.09999847,21.6,-0.24899697,-7.83382797,5.89931297,0.01898259,0.00780588,-0.03221555,-0.81905609,0.48573741,-,14.69999981,24.13630676,87,0,0,0,-,0.08068764,-,-,-,14.50377369,15,16.29969406,533.5050049
Sat Aug 16 18:26:34 GMT+05:30 2014,26:33.5,79.9527235,6.84541436,4.031129,5,-71.09999847,17.4,0.04788403,-7.63271523,5.47793341,-0.02329099,-0.05525817,-0.00097623,-0.76731598,0.45059317,-,14.69999981,24.12376213,87,0,0,0,-,0.08068764,-,-,-,14.50377369,14,14.51206398,534.0650024
Sat Aug 16 18:26:34 GMT+05:30 2014,26:34.0,79.9527235,6.84541436,4.031129,5,-71.09999847,17.4,0.19153613,-7.56567717,5.40131903,-0.03320485,-0.04633084,0.00780983,-0.78098321,0.44668823,-,14.69999981,24.11001205,87,0,0,0,-,0.08068764,-,-,-,14.50377369,13,14.51206398,534.5280151
Sat Aug 16 18:26:35 GMT+05:30 2014,26:34.5,79.9527227,6.84544476,3.25,5,-71.09999847,12.1,0.62249243,-7.7189064,5.17147589,-0.03176552,-0.05711083,0.04783522,-0.76633972,0.44668823,-,14.69999981,24.09259224,87,0,0,0,-,0.08068764,-,-,-,14.50377369,10,11.69999981,534.9890137
Sat Aug 16 18:26:35 GMT+05:30 2014,26:35.0,79.9527227,6.84544476,3.25,5,-71.09999847,12.1,0.82360536,-8.00621033,4.5394063,-0.03906906,-0.03437331,0.11519502,-0.83272332,0.37444729,-,14.69999981,24.07275009,87,0,0,0,-,0.08068764,-,-,-,14.50377369,8,11.69999981,535.5700073
Sat Aug 16 18:26:36 GMT+05:30 2014,26:35.5,79.95272105,6.84545665,2.236068,5,-69.69999695,2.9,0.32561144,-7.53694677,5.68862343,-0.02619565,-0.04514058,0.07126471,-0.80148399,0.41349643,-,14.69999981,24.07275009,87,0,0,0,-,0.08068764,-,-,-,14.50377369,8,8.04984474,536.039978
Sat Aug 16 18:26:36 GMT+05:30 2014,26:36.0,79.95272105,6.84545665,2.236068,5,-69.69999695,2.9,0.10534488,-7.27837324,5.95677376,-0.02220345,-0.04025963,0.01464343,-0.74583894,0.50330955,-,14.69999981,24.04926109,87,0,0,0,-,0.08068764,-,-,-,14.50377369,5,8.04984474,536.5250244
Sat Aug 16 18:26:36 GMT+05:30 2014,26:36.6,79.95272105,6.84545665,2.236068,5,-69.69999695,2.9,0,-7.17302847,6.12915611,-0.01922816,-0.03621791,0.00292869,-0.73998159,0.51697671,-,14.69999981,24.02337074,87,0,0,0,-,0.08068764,-,-,-,14.50377369,3,8.04984474,537.1040039
Sat Aug 16 18:26:37 GMT+05:30 2014,26:37.1,79.95272325,6.84545262,0.70710677,5,-68.69999695,2.9,-0.24899697,-6.7803793,6.57926607,-0.01759058,-0.02618453,-0.02050081,-0.71264714,0.56285948,-,14.69999981,23.99754333,87,0,0,0,-,0.0806893,-,-,-,14.50377369,3,2.5455842,537.5529785
Sat Aug 16 18:26:38 GMT+05:30 2014,26:37.5,79.95272521,6.84545021,0,5,-69.09999847,0,-0.11492168,-6.98149204,6.39730692,-0.01566356,-0.03441028,-0.01464343,-0.70971847,0.55407345,-,14.69999981,23.99754333,86,0,0,0,-,0.0806893,-,-,-,14.50377369,3,0,538.0100098
Sat Aug 16 18:26:38 GMT+05:30 2014,26:38.0,79.95272521,6.84545021,0,5,-69.09999847,0,-0.32561144,-6.85699368,6.65588093,-0.00631613,-0.02498316,-0.03319179,-0.69897997,0.57847917,-,14.69999981,23.97177887,86,0,0,0,-,0.08069176,-,-,-,14.50377369,3,0,538.5360107
Sat Aug 16 18:26:39 GMT+05:30 2014,26:38.5,79.952725,6.8454503,0,5,-69,0,-0.42137951,-6.62715054,6.87614727,-0.00656694,-0.02267852,-0.04197785,-0.68824142,0.5921464,-,14.69999981,23.94607925,86,0,0,0,-,0.08069349,-,-,-,14.50377369,3,0,538.9910278
Sat Aug 16 18:26:39 GMT+05:30 2014,26:39.0,79.952725,6.8454503,0,5,-69,0,-0.02873042,-7.37414122,5.803545,-0.02442259,-0.04309581,-0.00292869,-0.75169635,0.49159479,-,14.69999981,23.94607925,86,0,0,0,-,0.08069516,-,-,-,14.50377369,0,0,539.3779907
Sat Aug 16 18:26:40 GMT+05:30 2014,26:39.5,79.95272636,6.84545071,0,5,-69,0,0.00957681,-7.29752684,5.92804337,-0.02260065,-0.03240987,-0.00292869,-0.74974388,0.51111937,-,14.69999981,23.94607925,86,0,0,0,-,0.08069737,-,-,-,14.50377369,0,0,539.3779907
Sat Aug 16 18:26:40 GMT+05:30 2014,26:40.0,79.95272636,6.84545071,0,5,-69,0,-0.32561144,-6.96233845,6.42603731,-0.01461911,-0.03430905,-0.0068336,-0.74486274,0.51404804,-,14.69999981,23.94607925,86,0,0,0,-,0.08069737,-,-,-,14.50377369,0,0,539.3779907
Sat Aug 16 18:26:41 GMT+05:30 2014,26:40.5,79.95272702,6.84544963,0,5,-68.69999695,0,-0.45010993,-7.32625723,6.58884287,0.02445799,-0.0233628,-0.05564505,-0.68531275,0.5931226,-,14.69999981,23.94607925,86,0,0,0,-,0.08069931,-,-,-,14.50377369,0,0,539.3779907
Sat Aug 16 18:26:41 GMT+05:30 2014,26:41.0,79.95272702,6.84544963,0,5,-68.69999695,0,-0.38307226,-7.19218206,7.01979923,0.0442217,-0.02172952,-0.04685899,-0.68433654,0.59702754,-,14.69999981,23.94607925,86,0,0,0,-,0.08070117,-,-,-,14.50377369,0,0,539.3779907
Sat Aug 16 18:26:42 GMT+05:30 2014,26:41.6,79.95272689,6.84545393,0.9013878,5,-68.5,358.2,-0.94810385,-7.00064564,6.87614727,0.02394038,-0.0162273,-0.09469421,-0.68726522,0.59702754,-,14.69999981,23.94607925,87,0,0,700,-,0.08071484,-,-,-,14.35873604,0,3.24499607,539.3779907
Sat Aug 16 18:26:42 GMT+05:30 2014,26:42.1,79.95272689,6.84545393,0.9013878,5,-68.5,358.2,-1.38863695,-7.11556768,6.17704058,-0.0101065,-0.02389806,-0.13374338,-0.69507504,0.57164556,-,11.72258663,23.9228878,87,79.21569061,43.92156982,700,-,0.08071484,-,-,-,13.34347153,5,3.24499607,539.8209839
Sat Aug 16 18:26:43 GMT+05:30 2014,26:42.5,79.95272884,6.84546764,1,5,-69.09999847,2,-0.67995328,-6.64630413,6.4739213,-0.03267354,-0.05134957,-0.06931226,-0.67750293,0.5599308,-,11.72258663,23.9022007,87,87.45098114,43.92156982,1547.5,-,0.08084321,-,-,-,13.34347153,7,3.5999999,540.2819824
Sat Aug 16 18:26:43 GMT+05:30 2014,26:43.0,79.95272884,6.84546764,1,5,-69.09999847,2,-2.39420176,-7.09641361,5.90888977,-0.00855148,-0.02721924,-0.24405725,-0.72338563,0.50233328,-,14.69999981,23.88400459,87,92.15686798,56.07843018,1757.75,-,0.08107287,-,-,-,13.34347153,9,3.5999999,540.736023
Sat Aug 16 18:26:44 GMT+05:30 2014,26:43.5,79.95270774,6.84550669,3,5,-69.30000305,338.7,-2.9113493,-7.4507556,5.60243177,0.01452619,-0.0106882,-0.28310639,-0.75169635,0.47695136,-,14.69999981,23.88400459,87,92.15686798,58.82352829,1784.25,-,0.08129724,-,-,-,13.77858543,9,10.79999924,541.2960205
Sat Aug 16 18:26:44 GMT+05:30 2014,26:44.0,79.95270774,6.84550669,3,5,-69.30000305,338.7,-2.83473492,-7.46033239,5.59285498,0.01241213,-0.01793542,-0.29482117,-0.74583894,0.46621281,-,14.69999981,23.87195206,87,94.11764526,56.86274338,1784.25,-,0.08129724,-,-,-,13.92362309,14,10.79999924,541.7520142
